GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Biblioteca,com.biblioteca.model,Categoria,68,43,14,0,2,7,12,7,5,7
Biblioteca,com.biblioteca.model,Livro,61,80,14,0,1,11,10,17,3,17
Biblioteca,com.biblioteca.model,Livro.LivroBuilder,17,56,0,0,0,1,1,9,1,9
Biblioteca,com.biblioteca.model,Categoria.CategoriaBuilder,14,23,0,0,0,1,2,4,2,4
Biblioteca,com.biblioteca,BibliotecaApplication,0,8,0,0,0,3,0,2,0,2
Biblioteca,com.biblioteca.exception,GlobalExceptionHandler,0,115,0,0,0,37,0,7,0,7
Biblioteca,com.biblioteca.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Biblioteca,com.biblioteca.exception,ApiError,216,21,40,0,6,2,34,2,14,2
Biblioteca,com.biblioteca.mapper,LivroMapper,5,78,1,1,1,29,2,3,1,3
Biblioteca,com.biblioteca.dto,LivroCreateUpdateDTO,0,70,0,0,0,10,0,15,0,15
Biblioteca,com.biblioteca.dto,CategoriaDTO.CategoriaDTOBuilder,6,21,0,0,0,1,1,4,1,4
Biblioteca,com.biblioteca.dto,LivroCreateUpdateDTO.LivroCreateUpdateDTOBuilder,14,49,0,0,0,1,1,8,1,8
Biblioteca,com.biblioteca.dto,LivroDTO,31,49,0,0,2,9,8,9,8,9
Biblioteca,com.biblioteca.dto,CategoriaDTO,11,19,0,0,2,4,3,4,3,4
Biblioteca,com.biblioteca.dto,LivroDTO.LivroDTOBuilder,17,56,0,0,0,1,1,9,1,9
Biblioteca,com.biblioteca.service,LivroService,19,111,0,0,0,24,3,8,3,8
Biblioteca,com.biblioteca.service,CategoriaService,0,54,0,0,0,11,0,7,0,7
Biblioteca,com.biblioteca.controller,CategoriaController,0,44,0,0,0,8,0,6,0,6
Biblioteca,com.biblioteca.controller,LivroController,0,44,0,0,0,8,0,6,0,6
